# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  5.56626180081855e+00  -3.61668534300389e-01   6.14090455884938e-02   6.69349569342842e-02   3.85387026663890e-01   3.06172972313803e-02
  5.62083201455207e+00  -3.56556539543728e-01   6.82047294506397e-02   7.11420703984590e-02   3.82230086786360e-01   2.52560137050218e-02
  5.67540222828558e+00  -3.51446650113269e-01   7.49570386044562e-02   7.52901449712001e-02   3.79029774839521e-01   1.98813159740021e-02
  5.72997244201910e+00  -3.46342354136158e-01   8.16624278569522e-02   7.93764904290747e-02   3.75788911846687e-01   1.44961876205026e-02
  5.78454265575261e+00  -3.41246972459938e-01   8.83175004354614e-02   8.33985344595385e-02   3.72510247673101e-01   9.10354662417126e-03
  5.83911286948613e+00  -3.36163663620192e-01   9.49190053432671e-02   8.73538210349007e-02   3.69196461461399e-01   3.70624513280579e-03
  5.89368308321964e+00  -3.31095428746701e-01   1.01463834674166e-01   9.12400087336577e-02   3.65850162132388e-01  -1.69293069038311e-03
  5.94825329695316e+00  -3.26045116403357e-01   1.07949020892196e-01   9.50548690140890e-02   3.62473888946278e-01  -7.09126074680399e-03
  6.00282351068668e+00  -3.21015427357595e-01   1.14371734082366e-01   9.87962844447617e-02   3.59070112119746e-01  -1.24860910135435e-02
  6.05739372442019e+00  -3.16008919275636e-01   1.20729279177887e-01   1.02462246896349e-01   3.55641233494441e-01  -1.78748334890450e-02
  6.11196393815371e+00  -3.11028011340253e-01   1.27019093169022e-01   1.06050855698942e-01   3.52189587252775e-01  -2.32549660768644e-02
  6.16653415188722e+00  -3.06074988788239e-01   1.33238742298400e-01   1.09560315768817e-01   3.48717440677031e-01  -2.86240324108323e-02
  6.22110436562074e+00  -3.01152007365142e-01   1.39385919247287e-01   1.12988935708411e-01   3.45226994948066e-01  -3.39796416248252e-02
  6.27567457935425e+00  -2.96261097695186e-01   1.45458440317047e-01   1.16335125883063e-01   3.41720385980032e-01  -3.93194680702252e-02
  6.33024479308777e+00  -2.91404169564653e-01   1.51454242609727e-01   1.19597396477893e-01   3.38199685287774e-01  -4.46412509840329e-02
  6.38481500682128e+00  -2.86583016117322e-01   1.57371381211462e-01   1.22774355537995e-01   3.34666900883702e-01  -4.99427941104814e-02
  6.43938522055480e+00  -2.81799317960819e-01   1.63208026382122e-01   1.25864706994978e-01   3.31123978201132e-01  -5.52219652788918e-02
  6.49395543428831e+00  -2.77054647183037e-01   1.68962460754411e-01   1.28867248682682e-01   3.27572801041248e-01  -6.04766959404008e-02
  6.54852564802183e+00  -2.72350471278010e-01   1.74633076545398e-01   1.31780870344797e-01   3.24015192540976e-01  -6.57049806660916e-02
  6.60309586175534e+00  -2.67688156980855e-01   1.80218372783234e-01   1.34604551636892e-01   3.20452916159243e-01  -7.09048766089562e-02
  6.65766607548886e+00  -2.63068974011600e-01   1.85716952551630e-01   1.37337360125288e-01   3.16887676679199e-01  -7.60745029320243e-02
  6.71223628922237e+00  -2.58494098727923e-01   1.91127520254481e-01   1.39978449285024e-01   3.13321121224149e-01  -8.12120402048967e-02
  6.76680650295589e+00  -2.53964617686982e-01   1.96448878902813e-01   1.42527056499060e-01   3.09754840285049e-01  -8.63157297708350e-02
  6.82137671668940e+00  -2.49481531116677e-01   2.01679927426104e-01   1.44982501060717e-01   3.06190368757554e-01  -9.13838730864701e-02
  6.87594693042292e+00  -2.45045756296856e-01   2.06819658009823e-01   1.47344182181266e-01   3.02629186986730e-01  -9.64148310361079e-02
  6.93051714415643e+00  -2.40658130851062e-01   2.11867153460925e-01   1.49611577004419e-01   2.99072721817628e-01  -1.01407023222530e-01
  6.98508735788995e+00  -2.36319415949590e-01   2.16821584602852e-01   1.51784238629421e-01   2.95522347650075e-01  -1.06358927236108e-01
  7.03965757162347e+00  -2.32030299424692e-01   2.21682207701483e-01   1.53861794144287e-01   2.91979387496074e-01  -1.11269077903974e-01
  7.09422778535698e+00  -2.27791398798879e-01   2.26448361923336e-01   1.55843942670672e-01   2.88445114038376e-01  -1.16136066520921e-01
  7.14879799909050e+00  -2.23603264227370e-01   2.31119466827211e-01   1.57730453421728e-01   2.84920750688808e-01  -1.20958540063618e-01
  7.20336821282401e+00  -2.19466381355785e-01   2.35695019890331e-01   1.59521163774256e-01   2.81407472645093e-01  -1.25735200389694e-01
  7.25793842655753e+00  -2.15381174094284e-01   2.40174594069941e-01   1.61215977356334e-01   2.77906407944931e-01  -1.30464803423128e-01
  7.31250864029104e+00  -2.11348007309390e-01   2.44557835401233e-01   1.62814862151553e-01   2.74418638516241e-01  -1.35146158327364e-01
  7.36707885402456e+00  -2.07367189434800e-01   2.48844460632336e-01   1.64317848620879e-01   2.70945201222478e-01  -1.39778126667482e-01
  7.42164906775807e+00  -2.03438975002532e-01   2.53034254897063e-01   1.65725027843137e-01   2.67487088902087e-01  -1.44359621562707e-01
  7.47621928149159e+00  -1.99563567095798e-01   2.57127069425960e-01   1.67036549674979e-01   2.64045251401151e-01  -1.48889606830469e-01
  7.53078949522510e+00  -1.95741119725028e-01   2.61122819296199e-01   1.68252620931184e-01   2.60620596598421e-01  -1.53367096123195e-01
  7.58535970895862e+00  -1.91971740128494e-01   2.65021481220697e-01   1.69373503586044e-01   2.57213991421925e-01  -1.57791152058929e-01
  7.63992992269213e+00  -1.88255490999024e-01   2.68823091376839e-01   1.70399512996534e-01   2.53826262856449e-01  -1.62160885346854e-01
  7.69450013642565e+00  -1.84592392638284e-01   2.72527743275071e-01   1.71331016147911e-01   2.50458198941234e-01  -1.66475453908719e-01
  7.74907035015916e+00  -1.80982425040168e-01   2.76135585667592e-01   1.72168429922325e-01   2.47110549757258e-01  -1.70734061997139e-01
  7.80364056389268e+00  -1.77425529904788e-01   2.79646820497289e-01   1.72912219390977e-01   2.43784028403571e-01  -1.74935959311675e-01
