# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  1.59769851865742E+00  -6.25900311180312E-01  -6.27813459697174E-01
  1.60519898118632E+00  -6.22975725576993E-01  -6.24815758810368E-01
  1.61269944371523E+00  -6.20078343734196E-01  -6.21848069687027E-01
  1.62019990624414E+00  -6.17207787845233E-01  -6.18909905990377E-01
  1.62770036877305E+00  -6.14363687067169E-01  -6.16000792577296E-01
  1.63520083130196E+00  -6.11545677361107E-01  -6.13120265171904E-01
  1.64270129383086E+00  -6.08753401336860E-01  -6.10267870050206E-01
  1.65020175635977E+00  -6.05986508101851E-01  -6.07443163735360E-01
  1.65770221888868E+00  -6.03244653114114E-01  -6.04645712703186E-01
  1.66520268141759E+00  -6.00527498039277E-01  -6.01875093097529E-01
  1.67270314394650E+00  -5.97834710611380E-01  -5.99130890455116E-01
  1.68020360647540E+00  -5.95165964497433E-01  -5.96412699439559E-01
  1.68770406900431E+00  -5.92520939165576E-01  -5.93720123584167E-01
  1.69520453153322E+00  -5.89899319756746E-01  -5.91052775043236E-01
  1.70270499406213E+00  -5.87300796959730E-01  -5.88410274351526E-01
  1.71020545659104E+00  -5.84725066889511E-01  -5.85792250191608E-01
  1.71770591911994E+00  -5.82171830968798E-01  -5.83198339168806E-01
  1.72520638164885E+00  -5.79640795812648E-01  -5.80628185593460E-01
  1.73270684417776E+00  -5.77131673116083E-01  -5.78081441270236E-01
  1.74020730670667E+00  -5.74644179544616E-01  -5.75557765294237E-01
  1.74770776923558E+00  -5.72178036627591E-01  -5.73056823853675E-01
  1.75520823176449E+00  -5.69732970654265E-01  -5.70578290038861E-01
  1.76270869429339E+00  -5.67308712572536E-01  -5.68121843657281E-01
  1.77020915682230E+00  -5.64904997890248E-01  -5.65687171054570E-01
  1.77770961935121E+00  -5.62521566579000E-01  -5.63273964941136E-01
  1.78521008188012E+00  -5.60158162980369E-01  -5.60881924224266E-01
  1.79271054440903E+00  -5.57814535714495E-01  -5.58510753845506E-01
  1.80021100693793E+00  -5.55490437590951E-01  -5.56160164623124E-01
  1.80771146946684E+00  -5.53185625521829E-01  -5.53829873099501E-01
  1.81521193199575E+00  -5.50899860436980E-01  -5.51519601393246E-01
  1.82271239452466E+00  -5.48632907201352E-01  -5.49229077055896E-01
  1.83021285705357E+00  -5.46384534534353E-01  -5.46958032933029E-01
  1.83771331958247E+00  -5.44154514931197E-01  -5.44706207029646E-01
  1.84521378211138E+00  -5.41942624586162E-01  -5.42473342379656E-01
  1.85271424464029E+00  -5.39748643317714E-01  -5.40259186919350E-01
  1.86021470716920E+00  -5.37572354495445E-01  -5.38063493364701E-01
  1.86771516969811E+00  -5.35413544968764E-01  -5.35886019092381E-01
  1.87521563222701E+00  -5.33272004997311E-01  -5.33726526024342E-01
  1.88271609475592E+00  -5.31147528183022E-01  -5.31584780515875E-01
  1.89021655728483E+00  -5.29039911403820E-01  -5.29460553246992E-01
  1.89771701981374E+00  -5.26948954748875E-01  -5.27353619117043E-01
  1.90521748234265E+00  -5.24874461455395E-01  -5.25263757142453E-01
  1.91271794487155E+00  -5.22816237846900E-01  -5.23190750357469E-01
  1.92021840740046E+00  -5.20774093272948E-01  -5.21134385717822E-01
  1.92771886992937E+00  -5.18747840050266E-01  -5.19094454007202E-01
  1.93521933245828E+00  -5.16737293405247E-01  -5.17070749746459E-01
  1.94271979498719E+00  -5.14742271417786E-01  -5.15063071105429E-01
  1.95022025751609E+00  -5.12762594966403E-01  -5.13071219817308E-01
  1.95772072004500E+00  -5.10798087674637E-01  -5.11095001095488E-01
  1.96522118257391E+00  -5.08848575858657E-01  -5.09134223552766E-01
  1.97272164510282E+00  -5.06913888476080E-01  -5.07188699122862E-01
  1.98022210763173E+00  -5.04993857075944E-01  -5.05258242984153E-01
  1.98772257016063E+00  -5.03088315749811E-01  -5.03342673485571E-01
  1.99522303268954E+00  -5.01197101083987E-01  -5.01441812074580E-01
  2.00272349521845E+00  -4.99320052112797E-01  -4.99555483227165E-01
  2.01022395774736E+00  -4.97457010272921E-01  -4.97683514379778E-01
  2.01772442027627E+00  -4.95607819358741E-01  -4.95825735863169E-01
  2.02522488280518E+00  -4.93772325478681E-01  -4.93981980838049E-01
  2.03272534533408E+00  -4.91950377012516E-01  -4.92152085232516E-01
  2.04022580786299E+00  -4.90141824569623E-01  -4.90335887681198E-01
  2.04772627039190E+00  -4.88346520948143E-01  -4.88533229466053E-01
  2.05522673292081E+00  -4.86564321095045E-01  -4.86743954458781E-01
  2.06272719544972E+00  -4.84795082067059E-01  -4.84967909064781E-01
  2.07022765797862E+00  -4.83038662992457E-01  -4.83204942168622E-01
  2.07772812050753E+00  -4.81294925033660E-01  -4.81454905080978E-01
  2.08522858303644E+00  -4.79563731350658E-01  -4.79717651486961E-01
  2.09272904556535E+00  -4.77844947065209E-01  -4.77993037395845E-01
  2.10022950809426E+00  -4.76138439225815E-01  -4.76280921092099E-01
  2.10772997062316E+00  -4.74444076773432E-01  -4.74581163087722E-01
  2.11523043315207E+00  -4.72761730507924E-01  -4.72893626075811E-01
  2.12273089568098E+00  -4.71091273055220E-01  -4.71218174885350E-01
  2.13023135820989E+00  -4.69432578835163E-01  -4.69554676437165E-01
  2.13773182073880E+00  -4.67785524030045E-01  -4.67902999701013E-01
  2.14523228326770E+00  -4.66149986553792E-01  -4.66263015653781E-01
  2.15273274579661E+00  -4.64525846021798E-01  -4.64634597238746E-01
  2.16023320832552E+00  -4.62912983721391E-01  -4.63017619325873E-01
  2.16773367085443E+00  -4.61311282582903E-01  -4.61411958673124E-01
  2.17523413338334E+00  -4.59720627151345E-01  -4.59817493888731E-01
  2.18273459591224E+00  -4.58140903558668E-01  -4.58234105394429E-01
  2.19023505844115E+00  -4.56571999496586E-01  -4.56661675389594E-01
  2.19773552097006E+00  -4.55013804189964E-01  -4.55100087816284E-01
  2.20523598349897E+00  -4.53466208370741E-01  -4.53549228325133E-01
  2.21273644602788E+00  -4.51929104252392E-01  -4.52008984242097E-01
  2.22023690855678E+00  -4.50402385504900E-01  -4.50479244536002E-01
  2.22773737108569E+00  -4.48885947230237E-01  -4.48959899786894E-01
  2.23523783361460E+00  -4.47379685938342E-01  -4.47450842155151E-01
  2.24273829614351E+00  -4.45883499523572E-01  -4.45951965351344E-01
  2.25023875867242E+00  -4.44397287241632E-01  -4.44463164606819E-01
  2.25773922120133E+00  -4.42920949686965E-01  -4.42984336644989E-01
  2.26523968373023E+00  -4.41454388770584E-01  -4.41515379653304E-01
  2.27274014625914E+00  -4.39997507698348E-01  -4.40056193255885E-01
  2.28024060878805E+00  -4.38550210949669E-01  -4.38606678486810E-01
  2.28774107131696E+00  -4.37112404256633E-01  -4.37166737764020E-01
  2.29524153384587E+00  -4.35683994583532E-01  -4.35736274863840E-01
  2.30274199637477E+00  -4.34264890106798E-01  -4.34315194896085E-01
  2.31024245890368E+00  -4.32855000195325E-01  -4.32903404279753E-01
  2.31774292143259E+00  -4.31454235391172E-01  -4.31500810719269E-01
  2.32524338396150E+00  -4.30062507390649E-01  -4.30107323181277E-01
  2.33274384649041E+00  -4.28679729025753E-01  -4.28722851871960E-01
  2.34024430901931E+00  -4.27305814245972E-01  -4.27347308214878E-01
  2.34774477154822E+00  -4.25940678100435E-01  -4.25980604829303E-01
  2.35524523407713E+00  -4.24584236720401E-01  -4.24622655509043E-01
