# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p  R_3d
  3.60122201387587E-01   2.09208092375551E-01   1.02487983129560E-01   6.35043707908249E-02   2.88151714744456E-02   1.70530145753063E-02   4.32555691667578E-04
  3.67622663916495E-01   2.08742973118184E-01   1.02220680317906E-01   6.33313282645324E-02   2.97885978916319E-02   1.76275200722557E-02   4.57549048824615E-04
  3.75123126445403E-01   2.08182934932040E-01   1.01905649366823E-01   6.31284825029746E-02   3.07721359704941E-02   1.82078700018227E-02   4.83426165721706E-04
  3.82623588974311E-01   2.07531166851639E-01   1.01544473746669E-01   6.28968187710767E-02   3.17655973735972E-02   1.87939477961228E-02   5.10198785335504E-04
  3.90124051503219E-01   2.06790744592734E-01   1.01138681426078E-01   6.26372879479373E-02   3.27687988784932E-02   1.93856398773289E-02   5.37878525626816E-04
  3.97624514032127E-01   2.05964635010773E-01   1.00689747056230E-01   6.23508078802466E-02   3.37815621221819E-02   1.99828355071640E-02   5.66476881282567E-04
  4.05124976561035E-01   2.05055700384139E-01   1.00199094069372E-01   6.20382646825870E-02   3.48037133580600E-02   2.05854266437840E-02   5.96005225303818E-04
  4.12625439089943E-01   2.04066702528372E-01   9.96680966946054E-02   6.17005139864814E-02   3.58350832248266E-02   2.11933078057370E-02   6.26474810450481E-04
  4.20125901618851E-01   2.03000306747427E-01   9.90980818938832E-02   6.13383821400121E-02   3.68755065268287E-02   2.18063759426913E-02   6.57896770552848E-04
  4.27626364147759E-01   2.01859085627867E-01   9.84903312211035E-02   6.09526673597905E-02   3.79248220253496E-02   2.24245303126417E-02   6.90282121699503E-04
  4.35126826676667E-01   2.00645522681749E-01   9.78460826070910E-02   6.05441408370087E-02   3.89828722403621E-02   2.30476723653086E-02   7.23641763310719E-04
  4.42627289205575E-01   1.99362015843781E-01   9.71665320731954E-02   6.01135477992595E-02   4.00495032622856E-02   2.36757056314578E-02   7.57986479105914E-04
  4.50127751734483E-01   1.98010880828199E-01   9.64528353761575E-02   5.96616085297664E-02   4.11245645733010E-02   2.43085356178796E-02   7.93326937973318E-04
  4.57628214263391E-01   1.96594354350626E-01   9.57061095868147E-02   5.91890193456134E-02   4.22079088777997E-02   2.49460697077721E-02   8.29673694749524E-04
  4.65128676792299E-01   1.95114597220034E-01   9.49274346051432E-02   5.86964535365219E-02   4.32993919415522E-02   2.55882170662885E-02   8.67037190916210E-04
  4.72629139321208E-01   1.93573697305766E-01   9.41178546140587E-02   5.81845622656727E-02   4.43988724392049E-02   2.62348885510119E-02   9.05427755220867E-04
  4.80129601850116E-01   1.91973672384419E-01   9.32783794743185E-02   5.76539754340246E-02   4.55062118097229E-02   2.68859966271359E-02   9.44855604228019E-04
  4.87630064379024E-01   1.90316472871241E-01   9.24099860627975E-02   5.71053025095350E-02   4.66212741194165E-02   2.75414552871328E-02   9.85330842807022E-04
  4.95130526907932E-01   1.88603984440525E-01   9.15136195563328E-02   5.65391333226425E-02   4.77439259322008E-02   2.82011799747042E-02   1.02686346456220E-03
  5.02630989436840E-01   1.86838030539346E-01   9.05901946632595E-02   5.59560388293268E-02   4.88740361867530E-02   2.88650875128146E-02   1.06946335221069E-03
  5.10131451965748E-01   1.85020374798848E-01   8.96405968046916E-02   5.53565718430150E-02   5.00114760802450E-02   2.95330960356169E-02   1.11314027791315E-03
  5.17631914494656E-01   1.83152723347110E-01   8.86656832475267E-02   5.47412677365630E-02   5.11561189583436E-02   3.02051249240880E-02   1.15790390356195E-03
  5.25132377023564E-01   1.81236727027523E-01   8.76662841910871E-02   5.41106451154945E-02   5.23078402111814E-02   3.08810947451981E-02   1.20376378103156E-03
  5.32632839552472E-01   1.79273983526425E-01   8.66432038092439E-02   5.34652064636426E-02   5.34665171750151E-02   3.15609271944467E-02   1.25072935239507E-03
  5.40133302081380E-01   1.77266039413646E-01   8.55972212498000E-02   5.28054387622939E-02   5.46320290392994E-02   3.22445450416035E-02   1.29880995011101E-03
  5.47633764610288E-01   1.75214392099452E-01   8.45290915928493E-02   5.21318140838983E-02   5.58042567589172E-02   3.29318720795004E-02   1.34801479718395E-03
  5.55134227139196E-01   1.73120491711270E-01   8.34395467697625E-02   5.14447901613685E-02   5.69830829713149E-02   3.36228330757268E-02   1.39835300730248E-03
  5.62634689668104E-01   1.70985742893434E-01   8.23292964443912E-02   5.07448109339542E-02   5.81683919183067E-02   3.43173537270875E-02   1.44983358495765E-03
  5.70135152197012E-01   1.68811506533090E-01   8.11990288580227E-02   5.00323070706413E-02   5.93600693723176E-02   3.50153606166860E-02   1.50246542554501E-03
  5.77635614725920E-01   1.66599101415252E-01   8.00494116395588E-02   4.93076964719888E-02   6.05580025668484E-02   3.57167811735070E-02   1.55625731545280E-03
  5.85136077254828E-01   1.64349805809923E-01   7.88810925823382E-02   4.85713847512834E-02   6.17620801309530E-02   3.64215436343707E-02   1.61121793213918E-03
  5.92636539783736E-01   1.62064858994044E-01   7.76947003889677E-02   4.78237656958580E-02   6.29721920275279E-02   3.71295770081429E-02   1.66735584420063E-03
  6.00137002312645E-01   1.59745462710966E-01   7.64908453854722E-02   4.70652217093857E-02   6.41882294952245E-02   3.78408110420876E-02   1.72467951143394E-03
  6.07637464841553E-01   1.57392782570003E-01   7.52701202060279E-02   4.62961242359332E-02   6.54100849938000E-02   3.85551761902519E-02   1.78319728489367E-03
  6.15137927370461E-01   1.55007949388540E-01   7.40331004494888E-02   4.55168341665247E-02   6.66376521527342E-02   3.92726035837826E-02   1.84291740694724E-03
  6.22638389899369E-01   1.52592060479078E-01   7.27803453088730E-02   4.47277022289377E-02   6.78708257229436E-02   3.99930250030735E-02   1.90384801132908E-03
  6.30138852428277E-01   1.50146180883492E-01   7.15123981749269E-02   4.39290693614253E-02   6.91095015314370E-02   4.07163728516503E-02   1.96599712319570E-03
  6.37639314957185E-01   1.47671344556683E-01   7.02297872148444E-02   4.31212670710324E-02   7.03535764387562E-02   4.14425801317021E-02   2.02937265918312E-03
  6.45139777486093E-01   1.45168555501749E-01   6.89330259271702E-02   4.23046177771435E-02   7.16029482990619E-02   4.21715804211745E-02   2.09398242746783E-03
  6.52640240015001E-01   1.42638788858666E-01   6.76226136738814E-02   4.14794351408796E-02   7.28575159227217E-02   4.29033078523415E-02   2.15983412783279E-03
  6.60140702543909E-01   1.40082991948442E-01   6.62990361905970E-02   4.06460243809313E-02   7.41171790412716E-02   4.36376970917777E-02   2.22693535173936E-03
  6.67641165072817E-01   1.37502085274584E-01   6.49627660758290E-02   3.98046825763969E-02   7.53818382746233E-02   4.43746833216569E-02   2.29529358240626E-03
  6.75141627601725E-01   1.34896963483672E-01   6.36142632601508E-02   3.89556989571670E-02   7.66513951003976E-02   4.51142022223048E-02   2.36491619489656E-03
  6.82642090130633E-01   1.32268496286749E-01   6.22539754561249E-02   3.80993551823782E-02   7.79257518252695E-02   4.58561899559384E-02   2.43581045621333E-03
  6.90142552659541E-01   1.29617529343167E-01   6.08823385897948E-02   3.72359256074350E-02   7.92048115582152E-02   4.66005831515275E-02   2.50798352540485E-03
  6.97643015188449E-01   1.26944885108461E-01   5.94997772145156E-02   3.63656775400811E-02   8.04884781855574E-02   4.73473188907157E-02   2.58144245367998E-03
  7.05143477717357E-01   1.24251363647772E-01   5.81067049078651E-02   3.54888714859791E-02   8.17766563477101E-02   4.80963346947426E-02   2.65619418453422E-03
  7.12643940246265E-01   1.21537743416247E-01   5.67035246523471E-02   3.46057613842402E-02   8.30692514175273E-02   4.88475685123112E-02   2.73224555388703E-03
