# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  1.59769851865742e+00  -6.25900311180312e-01  -6.27813459697174e-01
  1.60519898118632e+00  -6.22975725576993e-01  -6.24815758810368e-01
  1.61269944371523e+00  -6.20078343734196e-01  -6.21848069687027e-01
  1.62019990624414e+00  -6.17207787845233e-01  -6.18909905990377e-01
  1.62770036877305e+00  -6.14363687067169e-01  -6.16000792577296e-01
  1.63520083130196e+00  -6.11545677361107e-01  -6.13120265171904e-01
  1.64270129383086e+00  -6.08753401336860e-01  -6.10267870050206e-01
  1.65020175635977e+00  -6.05986508101851e-01  -6.07443163735360e-01
  1.65770221888868e+00  -6.03244653114114e-01  -6.04645712703186e-01
  1.66520268141759e+00  -6.00527498039277e-01  -6.01875093097529e-01
  1.67270314394650e+00  -5.97834710611380e-01  -5.99130890455116e-01
  1.68020360647540e+00  -5.95165964497433e-01  -5.96412699439559e-01
  1.68770406900431e+00  -5.92520939165576e-01  -5.93720123584167e-01
  1.69520453153322e+00  -5.89899319756746e-01  -5.91052775043236e-01
  1.70270499406213e+00  -5.87300796959730e-01  -5.88410274351526e-01
  1.71020545659104e+00  -5.84725066889511e-01  -5.85792250191608e-01
  1.71770591911994e+00  -5.82171830968798e-01  -5.83198339168806e-01
  1.72520638164885e+00  -5.79640795812648e-01  -5.80628185593460e-01
  1.73270684417776e+00  -5.77131673116083e-01  -5.78081441270236e-01
  1.74020730670667e+00  -5.74644179544616e-01  -5.75557765294237e-01
  1.74770776923558e+00  -5.72178036627591e-01  -5.73056823853675e-01
  1.75520823176449e+00  -5.69732970654265e-01  -5.70578290038861e-01
  1.76270869429339e+00  -5.67308712572536e-01  -5.68121843657281e-01
  1.77020915682230e+00  -5.64904997890248e-01  -5.65687171054570e-01
  1.77770961935121e+00  -5.62521566579000e-01  -5.63273964941136e-01
  1.78521008188012e+00  -5.60158162980369e-01  -5.60881924224266e-01
  1.79271054440903e+00  -5.57814535714495e-01  -5.58510753845506e-01
  1.80021100693793e+00  -5.55490437590951e-01  -5.56160164623124e-01
  1.80771146946684e+00  -5.53185625521829e-01  -5.53829873099501e-01
  1.81521193199575e+00  -5.50899860436980e-01  -5.51519601393246e-01
  1.82271239452466e+00  -5.48632907201352e-01  -5.49229077055896e-01
  1.83021285705357e+00  -5.46384534534353e-01  -5.46958032933029e-01
  1.83771331958247e+00  -5.44154514931197e-01  -5.44706207029646e-01
  1.84521378211138e+00  -5.41942624586162e-01  -5.42473342379656e-01
  1.85271424464029e+00  -5.39748643317714e-01  -5.40259186919350e-01
  1.86021470716920e+00  -5.37572354495445e-01  -5.38063493364701e-01
  1.86771516969811e+00  -5.35413544968764e-01  -5.35886019092381e-01
  1.87521563222701e+00  -5.33272004997311e-01  -5.33726526024342e-01
  1.88271609475592e+00  -5.31147528183022e-01  -5.31584780515875e-01
  1.89021655728483e+00  -5.29039911403820e-01  -5.29460553246992e-01
  1.89771701981374e+00  -5.26948954748875e-01  -5.27353619117043e-01
  1.90521748234265e+00  -5.24874461455395e-01  -5.25263757142453e-01
  1.91271794487155e+00  -5.22816237846900e-01  -5.23190750357469e-01
  1.92021840740046e+00  -5.20774093272948e-01  -5.21134385717822e-01
  1.92771886992937e+00  -5.18747840050266e-01  -5.19094454007202e-01
  1.93521933245828e+00  -5.16737293405247e-01  -5.17070749746459e-01
  1.94271979498719e+00  -5.14742271417786e-01  -5.15063071105429e-01
  1.95022025751609e+00  -5.12762594966403e-01  -5.13071219817308e-01
  1.95772072004500e+00  -5.10798087674637e-01  -5.11095001095488e-01
  1.96522118257391e+00  -5.08848575858657e-01  -5.09134223552766e-01
  1.97272164510282e+00  -5.06913888476080e-01  -5.07188699122862e-01
  1.98022210763173e+00  -5.04993857075944e-01  -5.05258242984153e-01
  1.98772257016063e+00  -5.03088315749811e-01  -5.03342673485571e-01
  1.99522303268954e+00  -5.01197101083987e-01  -5.01441812074580e-01
  2.00272349521845e+00  -4.99320052112797e-01  -4.99555483227165e-01
  2.01022395774736e+00  -4.97457010272921e-01  -4.97683514379778e-01
  2.01772442027627e+00  -4.95607819358741e-01  -4.95825735863169e-01
  2.02522488280518e+00  -4.93772325478681e-01  -4.93981980838049e-01
  2.03272534533408e+00  -4.91950377012516e-01  -4.92152085232516e-01
  2.04022580786299e+00  -4.90141824569623e-01  -4.90335887681198e-01
  2.04772627039190e+00  -4.88346520948143e-01  -4.88533229466053e-01
  2.05522673292081e+00  -4.86564321095045e-01  -4.86743954458781e-01
  2.06272719544972e+00  -4.84795082067059e-01  -4.84967909064781e-01
  2.07022765797862e+00  -4.83038662992457e-01  -4.83204942168622e-01
  2.07772812050753e+00  -4.81294925033660e-01  -4.81454905080978e-01
  2.08522858303644e+00  -4.79563731350658e-01  -4.79717651486961e-01
  2.09272904556535e+00  -4.77844947065209e-01  -4.77993037395845e-01
  2.10022950809426e+00  -4.76138439225815e-01  -4.76280921092099e-01
  2.10772997062316e+00  -4.74444076773432e-01  -4.74581163087722e-01
  2.11523043315207e+00  -4.72761730507924e-01  -4.72893626075811e-01
  2.12273089568098e+00  -4.71091273055220e-01  -4.71218174885350e-01
  2.13023135820989e+00  -4.69432578835163e-01  -4.69554676437165e-01
  2.13773182073880e+00  -4.67785524030045e-01  -4.67902999701013e-01
  2.14523228326770e+00  -4.66149986553792e-01  -4.66263015653781e-01
  2.15273274579661e+00  -4.64525846021798e-01  -4.64634597238746e-01
  2.16023320832552e+00  -4.62912983721391e-01  -4.63017619325873e-01
  2.16773367085443e+00  -4.61311282582903e-01  -4.61411958673124e-01
  2.17523413338334e+00  -4.59720627151345e-01  -4.59817493888731e-01
  2.18273459591224e+00  -4.58140903558668e-01  -4.58234105394429e-01
  2.19023505844115e+00  -4.56571999496586e-01  -4.56661675389594e-01
  2.19773552097006e+00  -4.55013804189964e-01  -4.55100087816284e-01
  2.20523598349897e+00  -4.53466208370741e-01  -4.53549228325133e-01
  2.21273644602788e+00  -4.51929104252392e-01  -4.52008984242097e-01
  2.22023690855678e+00  -4.50402385504900e-01  -4.50479244536002e-01
  2.22773737108569e+00  -4.48885947230237e-01  -4.48959899786894e-01
  2.23523783361460e+00  -4.47379685938342e-01  -4.47450842155151e-01
  2.24273829614351e+00  -4.45883499523572e-01  -4.45951965351344e-01
  2.25023875867242e+00  -4.44397287241632e-01  -4.44463164606819e-01
  2.25773922120133e+00  -4.42920949686965e-01  -4.42984336644989e-01
  2.26523968373023e+00  -4.41454388770584e-01  -4.41515379653304e-01
  2.27274014625914e+00  -4.39997507698348e-01  -4.40056193255885e-01
  2.28024060878805e+00  -4.38550210949669e-01  -4.38606678486810e-01
  2.28774107131696e+00  -4.37112404256633e-01  -4.37166737764020e-01
  2.29524153384587e+00  -4.35683994583532e-01  -4.35736274863840e-01
  2.30274199637477e+00  -4.34264890106798e-01  -4.34315194896085e-01
  2.31024245890368e+00  -4.32855000195325e-01  -4.32903404279753e-01
  2.31774292143259e+00  -4.31454235391172e-01  -4.31500810719269e-01
  2.32524338396150e+00  -4.30062507390649e-01  -4.30107323181277e-01
  2.33274384649041e+00  -4.28679729025753e-01  -4.28722851871960e-01
  2.34024430901931e+00  -4.27305814245972e-01  -4.27347308214878e-01
  2.34774477154822e+00  -4.25940678100435e-01  -4.25980604829303e-01
  2.35524523407713e+00  -4.24584236720401e-01  -4.24622655509043e-01
