r	psi_1	psi_2	psi_3	psi_4	psi_5	psi_6	psi_7
5.0875	0.00017579463640366583	-0.026425186418352373	-0.00021865193786430745	0.0030181357720082567	0.02667408942440497	0.0053970115865563835	0.0012005865917510674
5.1291666666666655	0.00016530186056365204	-0.026181694037954693	0.0001313163640843144	0.0033511547920754515	0.026547712024241638	0.005136668354747519	0.000877990438281379
5.1708333333333325	0.0001554292261723704	-0.025936660268730056	0.0004812277469134848	0.003682226062948103	0.026418493082709896	0.004874512532955776	0.0005549674784438108
5.2125	0.0001461405438955977	-0.02569024102252744	0.0008309323150259197	0.004011177208857345	0.02628653457382153	0.0046106528849900845	0.00023167652683112955
5.2541666666666655	0.00013740170096024817	-0.025442587363960205	0.001180284005580053	0.004337840325303767	0.02615193692204745	0.00434519684648426	-9.172563731625613e-05
5.2958333333333325	0.00012918054475682275	-0.025193845598882943	0.0015291405574395557	0.0046620519627684496	0.02601479899237973	0.004078250502228179	-0.0004150843119371105
5.3375	0.00012144677274557735	-0.024944157363201148	0.0018773634784156887	0.0049836531079364655	0.02587521808210846	0.003809918565199693	-0.0007382469115263168
5.3791666666666655	0.0001141718283432876	-0.024693659711883063	0.002224818010918264	0.005302489162556857	0.02573328991423222	0.003540304357238972	-0.0010610630041284982
5.4208333333333325	0.00010732880248247254	-0.02444248520805254	0.00257137309612594	0.005618409920058763	0.025589108632425597	0.003269509791308673	-0.0013833843460134766
5.4625	0.0001008923405493827	-0.024190762012048155	0.0029169013367816767	0.005931269540038713	0.025442766797488005	0.002997635355284624	-0.0017050649140973586
5.5041666666666655	9.48385544209246e-05	-0.023938613970342495	0.003261278958714477	0.006240926520730341	0.025294355385202968	0.0027247800972234264	-0.0020259609361717346
5.5458333333333325	8.914493933406455e-05	-0.023686160704223056	0.0036043857711840527	0.006547243669563273	0.02514396378553799	0.002451041612054769	-0.0023459309190021066
5.5875	8.379029533406915e-05	-0.02343351769814252	0.003946105126140652	0.006850088071914187	0.02499167980311819	0.0021765160296476423	-0.002664835674355448
5.6291666666666655	7.875465306025011e-05	-0.02318079638765332	0.00428632387648825	0.007149331058149189	0.024837589658909125	0.0019012980042011165	-0.0029825383430154965
5.6708333333333325	7.401920363968237e-05	-0.022928104246847138	0.004624932333435354	0.007444848169053162	0.024681777993048104	0.0016254807049116357	-0.003298904416843111
5.7125	6.956623247066817e-05	-0.022675544875226005	0.004961824223013601	0.007736519119738173	0.02452432786876267	0.001349155807870128	-0.003613801758937944
5.7541666666666655	6.537905668853909e-05	-0.022423218083937983	0.005296896641841	0.008024227762119392	0.024365320777320093	0.0010724134891435238	-0.003927100621956345
5.7958333333333325	6.144196611675335e-05	-0.02217121998131412	0.005630050012202932	0.008307862046043972	0.024204836643951663	0.0007953424189965627	-0.00423867366463926
5.8375	5.774016751613028e-05	-0.021919643057649617	0.00596118803652079	0.008587313979155142	0.024042953834699687	0.0005180297572109622	-0.0045483959666028405
5.8791666666666655	5.4259731954537633e-05	-0.02166857626917638	0.006290217651274734	0.008862479585570663	0.023879749164135097	0.00024056114946024112	-0.004856145041443209
5.9208333333333325	5.0987545128369696e-05	-0.021418105121179143	0.0066170489804442045	0.009133258863451817	0.02371529790389653	-3.697927530033664e-05	-0.005161800848205976
5.9625	4.791126047577659e-05	-0.021168311750210028	0.00694159528852639	0.00939955574153642	0.023549673792004355	-0.0003145089064680862	-0.005465245801269556
6.0041666666666655	4.501925492982992e-05	-0.02091927500536288	0.00726377293319061	0.009661278034706353	0.02338294904290321	-0.0005919466524897763	-0.005766364778690825
6.0458333333333325	4.230058716764713e-05	-0.020671070528569258	0.007583501317623256	0.009918337398657556	0.02321519435818988	-0.000869212940658251	-0.006065045129060187
6.0875	3.974495821896717e-05	-0.02042377083388521	0.007900702842615542	0.010170649283738098	0.023046478937984085	-0.001146229716044912	-0.006361176676912342
6.1291666666666655	3.734267430478411e-05	-0.020177445385737656	0.008215302858444018	0.010418132888017332	0.022876870492902157	-0.0014229204396031786	-0.006654651726737907
6.1708333333333325	3.508461178342311e-05	-0.01993216067610471	0.008527229616590718	0.010660711109646335	0.022706435256594673	-0.0016992100854770068	-0.006945365065640065
6.2125	3.296218408788535e-05	-0.019687980300606735	0.008836414221348243	0.010898310498568363	0.02253523799881068	-0.001975025137547539	-0.007233213964679499
6.2541666666666655	3.0967310544426176e-05	-0.01944496503348725	0.009142790581352301	0.011130861207635028	0.022363342038952825	-0.002250293585250087	-0.00751809817894992
6.2958333333333325	2.909238696815612e-05	-0.019203172901466076	0.009446295361082267	0.011358296943182153	0.022190809260089046	-0.0025249449186926253	-0.007799919946425595
6.3375	2.7330257937005757e-05	-0.018962659256448754	0.009746867932368218	0.011580554915117188	0.02201770012338797	-0.002798910123106039	-0.008078583985621089
6.3791666666666655	2.5674190650655973e-05	-0.01872347684707972	0.010044450325941113	0.011797575786568126	0.021844073682946625	-0.00307212167265565	-0.00835399749210308
6.4208333333333325	2.411785028604567e-05	-0.01848567588912768	0.010338987183060568	0.0120093036231414	0.02166998760097928	-0.003344513523642407	-0.008626070133892532
6.4625	2.2655276765816475e-05	-0.018249304134694624	0.010630425707253066	0.012215685841835027	0.021495498163339736	-0.0036160211071216255	-0.00889471404579536
6.5041666666666655	2.128086286056662e-05	-0.01801440694024157	0.010918715616191527	0.012416673159651202	0.021320660295347946	-0.0038865813209659136	-0.00915984382269837
