# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
1.11016845427839e+00 -3.62584339164749e-02 -2.43287503415248e-02 -1.62775965688250e-02 1.55635038810644e-01 9.03397600225397e-02
1.11766891680730e+00 -3.92963487437942e-02 -2.58737644350505e-02 -1.72447020463671e-02 1.57041806074900e-01 9.11282729936263e-02
1.12516937933621e+00 -4.23310201266561e-02 -2.74163274019643e-02 -1.82101104107458e-02 1.58448654211694e-01 9.19161133648388e-02
1.13266984186512e+00 -4.53622298525251e-02 -2.89563140048752e-02 -1.91737405318186e-02 1.59855518780403e-01 9.27032375189796e-02
1.14017030439402e+00 -4.83897640410987e-02 -3.04936012314710e-02 -2.01355126806946e-02 1.61262335850262e-01 9.34896021634502e-02
1.14767076692293e+00 -5.14134130545296e-02 -3.20280682516651e-02 -2.10953485034419e-02 1.62669042000436e-01 9.42751643306227e-02
1.15517122945184e+00 -5.44329714103709e-02 -3.35595963760505e-02 -2.20531709955984e-02 1.64075574320052e-01 9.50598813781785e-02
1.16267169198075e+00 -5.74482376971359e-02 -3.50880690156112e-02 -2.30089044774571e-02 1.65481870408181e-01 9.58437109894133e-02
1.17017215450966e+00 -6.04590144923718e-02 -3.66133716426380e-02 -2.39624745700921e-02 1.66887868373771e-01 9.66266111735069e-02
1.17767261703856e+00 -6.34651082831499e-02 -3.81353917528038e-02 -2.49138081720984e-02 1.68293506835524e-01 9.74085402657583e-02
1.18517307956747e+00 -6.64663293888771e-02 -3.96540188283500e-02 -2.58628334370140e-02 1.69698724921732e-01 9.81894569277831e-02
1.19267354209638e+00 -6.94624918863413e-02 -4.11691443023429e-02 -2.68094797514010e-02 1.71103462270047e-01 9.89693201476762e-02
1.20017400462529e+00 -7.24534135369029e-02 -4.26806615239561e-02 -2.77536777135559e-02 1.72507659027208e-01 9.97480892401360e-02
1.20767446715420e+00 -7.54389157157525e-02 -4.41884657247395e-02 -2.86953591128273e-02 1.73911255848707e-01 1.00525723846551e-01
1.21517492968311e+00 -7.84188233431535e-02 -4.56924539858373e-02 -2.96344569095157e-02 1.75314193898402e-01 1.01302183935052e-01
1.22267539221201e+00 -8.13929648175974e-02 -4.71925252061169e-02 -3.05709052153332e-02 1.76716414848076e-01 1.02077429800518e-01
1.23017585474092e+00 -8.43611719507965e-02 -4.86885800711746e-02 -3.15046392744006e-02 1.78117860876940e-01 1.02851422064558e-01
1.23767631726983e+00 -8.73232799044478e-02 -5.01805210231844e-02 -3.24355954447627e-02 1.79518474671078e-01 1.03624121675441e-01
1.24517677979874e+00 -9.02791271287005e-02 -5.16682522315567e-02 -3.33637111803997e-02 1.80918199422838e-01 1.04395489907995e-01
1.25267724232765e+00 -9.32285553022634e-02 -5.31516795643772e-02 -3.42889250137179e-02 1.82316978830170e-01 1.05165488363470e-01
1.26017770485655e+00 -9.61714092740927e-02 -5.46307105605957e-02 -3.52111765384994e-02 1.83714757095904e-01 1.05934078969358e-01
1.26767816738546e+00 -9.91075370066016e-02 -5.61052544029377e-02 -3.61304063932946e-02 1.85111478926977e-01 1.06701223979179e-01
1.27517862991437e+00 -1.02036789520335e-01 -5.75752218915096e-02 -3.70465562452407e-02 1.86507089533603e-01 1.07466885972232e-01
1.28267909244328e+00 -1.04959020840060e-01 -5.90405254180740e-02 -3.79595687742892e-02 1.87901534628388e-01 1.08231027853302e-01
1.29017955497219e+00 -1.07874087942213e-01 -6.05010789409687e-02 -3.88693876578284e-02 1.89294760425394e-01 1.08993612852339e-01
1.29768001750109e+00 -1.10781850703662e-01 -6.19567979606461e-02 -3.97759575556855e-02 1.90686713639151e-01 1.09754604524095e-01
1.30518048003000e+00 -1.13682171851739e-01 -6.34075994958105e-02 -4.06792240954937e-02 1.92077341483609e-01 1.10513966747728e-01
1.31268094255891e+00 -1.16574916915485e-01 -6.48534020601311e-02 -4.15791338584127e-02 1.93466591671048e-01 1.11271663726372e-01
1.32018140508782e+00 -1.19459954178080e-01 -6.62941256395103e-02 -4.24756343651869e-02 1.94854412410929e-01 1.12027659986669e-01
1.32768186761673e+00 -1.22337154630401e-01 -6.77296916698868e-02 -4.33686740625322e-02 1.96240752408700e-01 1.12781920378268e-01
1.33518233014563e+00 -1.25206391925692e-01 -6.91600230155546e-02 -4.42582023098368e-02 1.97625560864550e-01 1.13534410073296e-01
1.34268279267454e+00 -1.28067542335272e-01 -7.05850439479798e-02 -4.51441693661663e-02 1.99008787472116e-01 1.14285094565784e-01
1.35018325520345e+00 -1.30920484705286e-01 -7.20046801250974e-02 -4.60265263775618e-02 2.00390382417139e-01 1.15033939671072e-01
1.35768371773236e+00 -1.33765100414429e-01 -7.34188585710709e-02 -4.69052253646204e-02 2.01770296376076e-01 1.15780911525178e-01
1.36518418026127e+00 -1.36601273332631e-01 -7.48275076564995e-02 -4.77802192103486e-02 2.03148480514671e-01 1.16525976584134e-01
1.37268464279017e+00 -1.39428889780666e-01 -7.62305570790568e-02 -4.86514616482788e-02 2.04524886486466e-01 1.17269101623294e-01
1.38018510531908e+00 -1.42247838490644e-01 -7.76279378445456e-02 -4.95189072508397e-02 2.05899466431287e-01 1.18010253736609e-01
1.38768556784799e+00 -1.45058010567375e-01 -7.90195822483566e-02 -5.03825114179725e-02 2.07272172973675e-01 1.18749400335878e-01
1.39518603037690e+00 -1.47859299450560e-01 -8.04054238573152e-02 -5.12422303659830e-02 2.08642959221278e-01 1.19486509149963e-01
1.40268649290581e+00 -1.50651600877792e-01 -8.17853974919044e-02 -5.20980211166237e-02 2.10011778763202e-01 1.20221548223984e-01
1.41018695543471e+00 -1.53434812848333e-01 -8.31594392088513e-02 -5.29498414863964e-02 2.11378585668324e-01 1.20954485918477e-01
1.41768741796362e+00 -1.56208835587654e-01 -8.45274862840656e-02 -5.37976500760690e-02 2.12743334483566e-01 1.21685290908537e-01
1.42518788049253e+00 -1.58973571512699e-01 -8.58894771959172e-02 -5.46414062603986e-02 2.14105980232127e-01 1.22413932182924e-01
1.43268834302144e+00 -1.61728925197860e-01 -8.72453516088437e-02 -5.54810701780552e-02 2.15466478411688e-01 1.23140379043150e-01
1.44018880555035e+00 -1.64474803341641e-01 -8.85950503572755e-02 -5.63166027217383e-02 2.16824784992567e-01 1.23864601102540e-01
1.44768926807925e+00 -1.67211114733984e-01 -8.99385154298702e-02 -5.71479655284811e-02 2.18180856415855e-01 1.24586568285267e-01
1.45518973060816e+00 -1.69937770224240e-01 -9.12756899540448e-02 -5.79751209701362e-02 2.19534649591507e-01 1.25306250825368e-01
1.46269019313707e+00 -1.72654682689769e-01 -9.26065181807976e-02 -5.87980321440358e-02 2.20886121896409e-01 1.26023619265729e-01
1.47019065566598e+00 -1.75361767005140e-01 -9.39309454698101e-02 -5.96166628638236e-02 2.22235231172404e-01 1.26738644457060e-01
1.47769111819489e+00 -1.78058940011924e-01 -9.52489182748211e-02 -6.04309776504502e-02 2.23581935724297e-01 1.27451297556836e-01
1.48519158072380e+00 -1.80746120489056e-01 -9.65603841292639e-02 -6.12409417233284e-02 2.24926194317829e-01 1.28161550028228e-01
1.49269204325270e+00 -1.83423229123755e-01 -9.78652916321593e-02 -6.20465209916442e-02 2.26267966177614e-01 1.28869373639006e-01
1.50019250578161e+00 -1.86090188482976e-01 -9.91635904342564e-02 -6.28476820458170e-02 2.27607210985063e-01 1.29574740460424e-01
1.50769296831052e+00 -1.88746922985389e-01 -1.00455231224414e-01 -6.36443921491062e-02 2.28943888876268e-01 1.30277622866092e-01
1.51519343083943e+00 -1.91393358873869e-01 -1.01740165716218e-01 -6.44366192293591e-02 2.30277960439871e-01 1.30977993530824e-01
1.52269389336834e+00 -1.94029424188469e-01 -1.03018346634819e-01 -6.52243318708959e-02 2.31609386714905e-01 1.31675825429467e-01
1.53019435589724e+00 -1.96655048739887e-01 -1.04289727703999e-01 -6.60074993065285e-02 2.32938129188606e-01 1.32371091835719e-01
1.53769481842615e+00 -1.99270164083392e-01 -1.05554263633450e-01 -6.67860914097088e-02 2.34264149794217e-01 1.33063766320927e-01
