# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  1.11869938153706E+01  -8.93895193386115E-02  -8.93895193386116E-02
  1.12415640291041E+01  -8.89555934931317E-02  -8.89555934931318E-02
  1.12961342428377E+01  -8.85258601307835E-02  -8.85258601307835E-02
  1.13507044565712E+01  -8.81002587835928E-02  -8.81002587835928E-02
  1.14052746703047E+01  -8.76787301408573E-02  -8.76787301408574E-02
  1.14598448840382E+01  -8.72612160215926E-02  -8.72612160215926E-02
  1.15144150977717E+01  -8.68476593477615E-02  -8.68476593477615E-02
  1.15689853115052E+01  -8.64380041182619E-02  -8.64380041182619E-02
  1.16235555252387E+01  -8.60321953836462E-02  -8.60321953836462E-02
  1.16781257389723E+01  -8.56301792215508E-02  -8.56301792215508E-02
  1.17326959527058E+01  -8.52319027128101E-02  -8.52319027128102E-02
  1.17872661664393E+01  -8.48373139182350E-02  -8.48373139182350E-02
  1.18418363801728E+01  -8.44463618560323E-02  -8.44463618560323E-02
  1.18964065939063E+01  -8.40589964798470E-02  -8.40589964798470E-02
  1.19509768076398E+01  -8.36751686574051E-02  -8.36751686574051E-02
  1.20055470213734E+01  -8.32948301497392E-02  -8.32948301497391E-02
  1.20601172351069E+01  -8.29179335909780E-02  -8.29179335909780E-02
  1.21146874488404E+01  -8.25444324686825E-02  -8.25444324686825E-02
  1.21692576625739E+01  -8.21742811047105E-02  -8.21742811047105E-02
  1.22238278763074E+01  -8.18074346365945E-02  -8.18074346365945E-02
  1.22783980900409E+01  -8.14438489994151E-02  -8.14438489994151E-02
  1.23329683037744E+01  -8.10834809081570E-02  -8.10834809081570E-02
  1.23875385175080E+01  -8.07262878405300E-02  -8.07262878405300E-02
  1.24421087312415E+01  -8.03722280202433E-02  -8.03722280202433E-02
  1.24966789449750E+01  -8.00212604007169E-02  -8.00212604007169E-02
  1.25512491587085E+01  -7.96733446492188E-02  -7.96733446492188E-02
  1.26058193724420E+01  -7.93284411314136E-02  -7.93284411314136E-02
  1.26603895861755E+01  -7.89865108963113E-02  -7.89865108963113E-02
  1.27149597999090E+01  -7.86475156616030E-02  -7.86475156616031E-02
  1.27695300136426E+01  -7.83114177993733E-02  -7.83114177993733E-02
  1.28241002273761E+01  -7.79781803221768E-02  -7.79781803221768E-02
  1.28786704411096E+01  -7.76477668694691E-02  -7.76477668694690E-02
  1.29332406548431E+01  -7.73201416943811E-02  -7.73201416943811E-02
  1.29878108685766E+01  -7.69952696508271E-02  -7.69952696508271E-02
  1.30423810823101E+01  -7.66731161809354E-02  -7.66731161809354E-02
  1.30969512960437E+01  -7.63536473027949E-02  -7.63536473027949E-02
  1.31515215097772E+01  -7.60368295985050E-02  -7.60368295985050E-02
  1.32060917235107E+01  -7.57226302025231E-02  -7.57226302025230E-02
  1.32606619372442E+01  -7.54110167902989E-02  -7.54110167902989E-02
  1.33152321509777E+01  -7.51019575671891E-02  -7.51019575671890E-02
  1.33698023647112E+01  -7.47954212576424E-02  -7.47954212576424E-02
  1.34243725784447E+01  -7.44913770946495E-02  -7.44913770946495E-02
  1.34789427921783E+01  -7.41897948094485E-02  -7.41897948094485E-02
  1.35335130059118E+01  -7.38906446214797E-02  -7.38906446214797E-02
  1.35880832196453E+01  -7.35938972285823E-02  -7.35938972285824E-02
  1.36426534333788E+01  -7.32995237974271E-02  -7.32995237974270E-02
  1.36972236471123E+01  -7.30074959541762E-02  -7.30074959541762E-02
  1.37517938608458E+01  -7.27177857753674E-02  -7.27177857753674E-02
  1.38063640745794E+01  -7.24303657790125E-02  -7.24303657790125E-02
  1.38609342883129E+01  -7.21452089159077E-02  -7.21452089159077E-02
  1.39155045020464E+01  -7.18622885611472E-02  -7.18622885611472E-02
  1.39700747157799E+01  -7.15815785058365E-02  -7.15815785058365E-02
  1.40246449295134E+01  -7.13030529489986E-02  -7.13030529489986E-02
  1.40792151432469E+01  -7.10266864896690E-02  -7.10266864896690E-02
  1.41337853569804E+01  -7.07524541191731E-02  -7.07524541191731E-02
  1.41883555707140E+01  -7.04803312135826E-02  -7.04803312135826E-02
  1.42429257844475E+01  -7.02102935263447E-02  -7.02102935263447E-02
  1.42974959981810E+01  -6.99423171810802E-02  -6.99423171810802E-02
  1.43520662119145E+01  -6.96763786645466E-02  -6.96763786645466E-02
  1.44066364256480E+01  -6.94124548197599E-02  -6.94124548197599E-02
  1.44612066393815E+01  -6.91505228392730E-02  -6.91505228392731E-02
  1.45157768531151E+01  -6.88905602586060E-02  -6.88905602586060E-02
  1.45703470668486E+01  -6.86325449498226E-02  -6.86325449498226E-02
  1.46249172805821E+01  -6.83764551152524E-02  -6.83764551152524E-02
  1.46794874943156E+01  -6.81222692813516E-02  -6.81222692813516E-02
  1.47340577080491E+01  -6.78699662927007E-02  -6.78699662927007E-02
  1.47886279217826E+01  -6.76195253061353E-02  -6.76195253061353E-02
  1.48431981355161E+01  -6.73709257850062E-02  -6.73709257850062E-02
  1.48977683492497E+01  -6.71241474935651E-02  -6.71241474935651E-02
  1.49523385629832E+01  -6.68791704914745E-02  -6.68791704914745E-02
  1.50069087767167E+01  -6.66359751284359E-02  -6.66359751284359E-02
  1.50614789904502E+01  -6.63945420389362E-02  -6.63945420389362E-02
  1.51160492041837E+01  -6.61548521371065E-02  -6.61548521371065E-02
  1.51706194179172E+01  -6.59168866116931E-02  -6.59168866116931E-02
  1.52251896316507E+01  -6.56806269211359E-02  -6.56806269211359E-02
  1.52797598453843E+01  -6.54460547887526E-02  -6.54460547887526E-02
  1.53343300591178E+01  -6.52131521980252E-02  -6.52131521980251E-02
  1.53889002728513E+01  -6.49819013879877E-02  -6.49819013879877E-02
  1.54434704865848E+01  -6.47522848487109E-02  -6.47522848487109E-02
  1.54980407003183E+01  -6.45242853168827E-02  -6.45242853168827E-02
  1.55526109140518E+01  -6.42978857714814E-02  -6.42978857714814E-02
  1.56071811277854E+01  -6.40730694295402E-02  -6.40730694295401E-02
  1.56617513415189E+01  -6.38498197419996E-02  -6.38498197419996E-02
  1.57163215552524E+01  -6.36281203896468E-02  -6.36281203896468E-02
  1.57708917689859E+01  -6.34079552791390E-02  -6.34079552791390E-02
  1.58254619827194E+01  -6.31893085391092E-02  -6.31893085391092E-02
  1.58800321964529E+01  -6.29721645163520E-02  -6.29721645163520E-02
  1.59346024101864E+01  -6.27565077720881E-02  -6.27565077720881E-02
  1.59891726239200E+01  -6.25423230783055E-02  -6.25423230783055E-02
  1.60437428376535E+01  -6.23295954141744E-02  -6.23295954141744E-02
  1.60983130513870E+01  -6.21183099625362E-02  -6.21183099625363E-02
  1.61528832651205E+01  -6.19084521064630E-02  -6.19084521064630E-02
  1.62074534788540E+01  -6.17000074258863E-02  -6.17000074258863E-02
  1.62620236925875E+01  -6.14929616942948E-02  -6.14929616942948E-02
  1.63165939063211E+01  -6.12873008754970E-02  -6.12873008754970E-02
  1.63711641200546E+01  -6.10830111204497E-02  -6.10830111204497E-02
  1.64257343337881E+01  -6.08800787641487E-02  -6.08800787641487E-02
  1.64803045475216E+01  -6.06784903225824E-02  -6.06784903225824E-02
  1.65348747612551E+01  -6.04782324897448E-02  -6.04782324897448E-02
  1.65894449749886E+01  -6.02792921347078E-02  -6.02792921347078E-02
  1.66440151887221E+01  -6.00816562987513E-02  -6.00816562987513E-02
  1.66985854024557E+01  -5.98853121925491E-02  -5.98853121925491E-02
  1.67531556161892E+01  -5.96902471934102E-02  -5.96902471934102E-02
  1.68077258299227E+01  -5.94964488425737E-02  -5.94964488425737E-02
  1.68622960436562E+01  -5.93039048425562E-02  -5.93039048425562E-02
  1.69168662573897E+01  -5.91126030545506E-02  -5.91126030545506E-02
  1.69714364711232E+01  -5.89225314958750E-02  -5.89225314958750E-02
  1.70260066848568E+01  -5.87336783374706E-02  -5.87336783374705E-02
  1.70805768985903E+01  -5.85460319014479E-02  -5.85460319014479E-02
  1.71351471123238E+01  -5.83595806586796E-02  -5.83595806586796E-02
  1.71897173260573E+01  -5.81743132264388E-02  -5.81743132264389E-02
  1.72442875397908E+01  -5.79902183660834E-02  -5.79902183660834E-02
  1.72988577535243E+01  -5.78072849807825E-02  -5.78072849807825E-02
  1.73534279672578E+01  -5.76255021132875E-02  -5.76255021132875E-02
  1.74079981809914E+01  -5.74448589437440E-02  -5.74448589437439E-02
  1.74625683947249E+01  -5.72653447875446E-02  -5.72653447875447E-02
  1.75171386084584E+01  -5.70869490932233E-02  -5.70869490932233E-02
  1.75717088221919E+01  -5.69096614403868E-02  -5.69096614403869E-02
  1.76262790359254E+01  -5.67334715376868E-02  -5.67334715376868E-02
  1.76808492496589E+01  -5.65583692208274E-02  -5.65583692208274E-02
  1.77354194633925E+01  -5.63843444506115E-02  -5.63843444506115E-02
  1.77899896771260E+01  -5.62113873110214E-02  -5.62113873110214E-02
  1.78445598908595E+01  -5.60394880073355E-02  -5.60394880073355E-02
  1.78991301045930E+01  -5.58686368642795E-02  -5.58686368642796E-02
  1.79537003183265E+01  -5.56988243242110E-02  -5.56988243242110E-02
  1.80082705320600E+01  -5.55300409453371E-02  -5.55300409453370E-02
  1.80628407457935E+01  -5.53622773999643E-02  -5.53622773999643E-02
  1.81174109595271E+01  -5.51955244727807E-02  -5.51955244727807E-02
