# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  5.56626180081855E+00  -3.61668534300389E-01   6.14090455884938E-02   6.69349569342842E-02   3.85387026663890E-01   3.06172972313803E-02
  5.62083201455207E+00  -3.56556539543728E-01   6.82047294506397E-02   7.11420703984590E-02   3.82230086786360E-01   2.52560137050218E-02
  5.67540222828558E+00  -3.51446650113269E-01   7.49570386044562E-02   7.52901449712001E-02   3.79029774839521E-01   1.98813159740021E-02
  5.72997244201910E+00  -3.46342354136158E-01   8.16624278569522E-02   7.93764904290747E-02   3.75788911846687E-01   1.44961876205026E-02
  5.78454265575261E+00  -3.41246972459938E-01   8.83175004354614E-02   8.33985344595385E-02   3.72510247673101E-01   9.10354662417126E-03
  5.83911286948613E+00  -3.36163663620192E-01   9.49190053432671E-02   8.73538210349007E-02   3.69196461461399E-01   3.70624513280579E-03
  5.89368308321964E+00  -3.31095428746701E-01   1.01463834674166E-01   9.12400087336577E-02   3.65850162132388E-01  -1.69293069038311E-03
  5.94825329695316E+00  -3.26045116403357E-01   1.07949020892196E-01   9.50548690140890E-02   3.62473888946278E-01  -7.09126074680399E-03
  6.00282351068668E+00  -3.21015427357595E-01   1.14371734082366E-01   9.87962844447617E-02   3.59070112119746E-01  -1.24860910135435E-02
  6.05739372442019E+00  -3.16008919275636E-01   1.20729279177887E-01   1.02462246896349E-01   3.55641233494441E-01  -1.78748334890450E-02
  6.11196393815371E+00  -3.11028011340253E-01   1.27019093169022E-01   1.06050855698942E-01   3.52189587252775E-01  -2.32549660768644E-02
  6.16653415188722E+00  -3.06074988788239E-01   1.33238742298400E-01   1.09560315768817E-01   3.48717440677031E-01  -2.86240324108323E-02
  6.22110436562074E+00  -3.01152007365142E-01   1.39385919247287E-01   1.12988935708411E-01   3.45226994948066E-01  -3.39796416248252E-02
  6.27567457935425E+00  -2.96261097695186E-01   1.45458440317047E-01   1.16335125883063E-01   3.41720385980032E-01  -3.93194680702252E-02
  6.33024479308777E+00  -2.91404169564653E-01   1.51454242609727E-01   1.19597396477893E-01   3.38199685287774E-01  -4.46412509840329E-02
  6.38481500682128E+00  -2.86583016117322E-01   1.57371381211462E-01   1.22774355537995E-01   3.34666900883702E-01  -4.99427941104814E-02
  6.43938522055480E+00  -2.81799317960819E-01   1.63208026382122E-01   1.25864706994978E-01   3.31123978201132E-01  -5.52219652788918E-02
  6.49395543428831E+00  -2.77054647183037E-01   1.68962460754411E-01   1.28867248682682E-01   3.27572801041248E-01  -6.04766959404008E-02
  6.54852564802183E+00  -2.72350471278010E-01   1.74633076545398E-01   1.31780870344797E-01   3.24015192540976E-01  -6.57049806660916E-02
  6.60309586175534E+00  -2.67688156980855E-01   1.80218372783234E-01   1.34604551636892E-01   3.20452916159243E-01  -7.09048766089562E-02
  6.65766607548886E+00  -2.63068974011600E-01   1.85716952551630E-01   1.37337360125288E-01   3.16887676679199E-01  -7.60745029320243E-02
  6.71223628922237E+00  -2.58494098727923E-01   1.91127520254481E-01   1.39978449285024E-01   3.13321121224149E-01  -8.12120402048967E-02
  6.76680650295589E+00  -2.53964617686982E-01   1.96448878902813E-01   1.42527056499060E-01   3.09754840285049E-01  -8.63157297708350E-02
  6.82137671668940E+00  -2.49481531116677E-01   2.01679927426104E-01   1.44982501060717E-01   3.06190368757554E-01  -9.13838730864701E-02
  6.87594693042292E+00  -2.45045756296856E-01   2.06819658009823E-01   1.47344182181266E-01   3.02629186986730E-01  -9.64148310361079E-02
  6.93051714415643E+00  -2.40658130851062E-01   2.11867153460925E-01   1.49611577004419E-01   2.99072721817628E-01  -1.01407023222530E-01
  6.98508735788995E+00  -2.36319415949590E-01   2.16821584602852E-01   1.51784238629421E-01   2.95522347650075E-01  -1.06358927236108E-01
  7.03965757162347E+00  -2.32030299424692E-01   2.21682207701483E-01   1.53861794144287E-01   2.91979387496074E-01  -1.11269077903974E-01
  7.09422778535698E+00  -2.27791398798879E-01   2.26448361923336E-01   1.55843942670672E-01   2.88445114038376E-01  -1.16136066520921E-01
  7.14879799909050E+00  -2.23603264227370E-01   2.31119466827211E-01   1.57730453421728E-01   2.84920750688808E-01  -1.20958540063618E-01
  7.20336821282401E+00  -2.19466381355785E-01   2.35695019890331E-01   1.59521163774256E-01   2.81407472645093E-01  -1.25735200389694E-01
  7.25793842655753E+00  -2.15381174094284E-01   2.40174594069941E-01   1.61215977356334E-01   2.77906407944931E-01  -1.30464803423128E-01
  7.31250864029104E+00  -2.11348007309390E-01   2.44557835401233E-01   1.62814862151553E-01   2.74418638516241E-01  -1.35146158327364E-01
  7.36707885402456E+00  -2.07367189434800E-01   2.48844460632336E-01   1.64317848620879E-01   2.70945201222478E-01  -1.39778126667482E-01
  7.42164906775807E+00  -2.03438975002532E-01   2.53034254897063E-01   1.65725027843137E-01   2.67487088902087E-01  -1.44359621562707E-01
  7.47621928149159E+00  -1.99563567095798E-01   2.57127069425960E-01   1.67036549674979E-01   2.64045251401151E-01  -1.48889606830469E-01
  7.53078949522510E+00  -1.95741119725028E-01   2.61122819296199E-01   1.68252620931184E-01   2.60620596598421E-01  -1.53367096123195E-01
  7.58535970895862E+00  -1.91971740128494E-01   2.65021481220697E-01   1.69373503586044E-01   2.57213991421925E-01  -1.57791152058929E-01
  7.63992992269213E+00  -1.88255490999024E-01   2.68823091376839E-01   1.70399512996534E-01   2.53826262856449E-01  -1.62160885346854E-01
  7.69450013642565E+00  -1.84592392638284E-01   2.72527743275071E-01   1.71331016147911E-01   2.50458198941234E-01  -1.66475453908719E-01
  7.74907035015916E+00  -1.80982425040168E-01   2.76135585667592E-01   1.72168429922325E-01   2.47110549757258E-01  -1.70734061997139E-01
  7.80364056389268E+00  -1.77425529904788E-01   2.79646820497289E-01   1.72912219390977E-01   2.43784028403571E-01  -1.74935959311675E-01
